event_id,disaster_type,region,event_date,severity
1,,West Bengal,,Medium
2,Cyclone,Gujarat,2021-07-29,High
3,,West Bengal,2021-03-07,Low
4,Flood,Gujarat,2021-02-24,High
5,Cyclone,Bihar,2022-07-24,Low
6,Cyclone,Bihar,2021-11-15,Low
7,Earthquake,West Bengal,2021-07-18,Medium
8,Earthquake,Kerala,2023-07-30,High
9,Flood,Bihar,2022-08-24,High
10,Drought,Tamil Nadu,2021-05-23,Low
11,,Gujarat,2021-06-13,Low
12,Flood,Bihar,2023-01-18,Low
13,Earthquake,Tamil Nadu,2022-07-01,High
14,,West Bengal,2021-12-17,High
15,,Gujarat,2023-02-17,Medium
16,,Gujarat,2021-04-25,Low
17,Flood,Tamil Nadu,2021-05-16,Low
18,Drought,Tamil Nadu,2023-10-20,Medium
19,,UP,2021-10-13,Low
20,,Kerala,2023-05-28,High
21,Landslide,Tamil Nadu,2021-10-11,High
22,Landslide,West Bengal,2021-08-13,Low
23,,Assam,2023-05-15,High
24,Flood,Bihar,2023-08-17,High
25,Earthquake,Odisha,2021-08-23,High
26,Drought,Kerala,2022-11-28,Low
27,Earthquake,Bihar,2021-01-07,High
28,,Kerala,2022-01-01,High
29,Flood,Kerala,2023-11-06,High
30,Cyclone,Assam,2021-11-27,High
31,Drought,Odisha,2023-09-28,Low
32,Flood,Tamil Nadu,2022-09-22,Low
33,Flood,Gujarat,2021-06-11,Low
34,,UP,2023-12-27,Low
35,Cyclone,UP,2021-12-05,Medium
36,Drought,Bihar,2024-01-10,High
37,,Gujarat,2023-03-29,High
38,,Tamil Nadu,2023-11-26,Medium
39,Flood,Gujarat,2022-11-24,Low
40,Drought,Gujarat,2021-01-15,Low
41,,Odisha,2021-03-06,Medium
42,Flood,Gujarat,2023-09-22,Low
43,Drought,Assam,2024-03-15,High
44,Landslide,Gujarat,2023-04-14,Low
45,Flood,West Bengal,2022-12-27,Medium
46,Landslide,UP,2021-04-21,High
47,,West Bengal,2022-11-26,Low
48,Cyclone,Gujarat,2023-07-08,Low
49,Landslide,Assam,2022-05-27,Low
50,Landslide,West Bengal,2024-01-13,Low
51,Flood,Gujarat,2023-09-22,Medium
52,Cyclone,Bihar,2021-12-04,Medium
53,Flood,Bihar,2023-07-21,Medium
54,Landslide,UP,2022-08-31,Low
55,Flood,Odisha,2021-04-28,Low
56,Drought,UP,2023-12-24,Low
57,Flood,West Bengal,2021-05-21,High
58,Flood,Gujarat,2024-03-12,Low
59,Drought,Odisha,2023-05-09,High
60,Drought,Tamil Nadu,2022-02-23,High
61,,Tamil Nadu,2023-03-22,Low
62,,Kerala,2021-05-29,Low
63,Landslide,West Bengal,2022-03-13,High
64,Earthquake,Assam,2021-05-21,Low
65,Earthquake,Kerala,2024-01-18,High
66,Earthquake,Odisha,2024-02-10,Medium
67,,West Bengal,2021-10-03,Medium
68,Flood,West Bengal,2021-11-15,Medium
69,Earthquake,Gujarat,2022-02-21,High
70,,Kerala,2022-05-30,Low
71,Flood,Bihar,2021-04-01,Low
72,Earthquake,Assam,2022-06-21,Low
73,,UP,2023-05-26,High
74,Flood,West Bengal,2021-11-02,High
75,Flood,Tamil Nadu,2021-10-31,Medium
76,Cyclone,Odisha,2021-03-23,Medium
77,Cyclone,Gujarat,2022-12-26,High
78,Landslide,Assam,2022-04-30,Low
79,Cyclone,Bihar,,High
80,Earthquake,Bihar,2022-05-24,Medium
81,Cyclone,West Bengal,2021-03-21,Medium
82,Cyclone,Gujarat,2023-08-01,Medium
83,Earthquake,Gujarat,2022-01-31,Medium
84,Earthquake,Kerala,2022-07-26,Medium
85,,Bihar,2024-01-04,Medium
86,Flood,West Bengal,2022-06-19,Low
87,Drought,Kerala,,High
88,Landslide,Tamil Nadu,2022-10-05,Medium
89,Drought,West Bengal,2024-03-26,Low
90,Earthquake,Odisha,2021-01-04,High
91,Drought,Gujarat,2021-05-24,High
92,Earthquake,Tamil Nadu,2021-09-13,High
93,Earthquake,Kerala,2022-10-31,Medium
94,,Kerala,2022-01-28,Medium
95,,Bihar,2021-12-23,High
96,Drought,Kerala,2021-01-01,Medium
97,Earthquake,Gujarat,2024-04-02,High
98,,Tamil Nadu,2023-06-25,High
99,Cyclone,UP,2021-12-14,High
100,Flood,Kerala,2022-11-18,Low
101,Cyclone,Kerala,2022-02-12,Low
102,Flood,Odisha,2023-09-01,High
103,Flood,UP,2024-03-24,Low
104,,Bihar,2022-05-15,Low
105,,Odisha,2021-08-07,Medium
106,Cyclone,Assam,2023-11-27,Medium
107,Flood,Gujarat,2021-09-06,Medium
108,Cyclone,UP,2024-02-19,High
109,Earthquake,UP,2023-10-31,Medium
110,Drought,UP,2023-08-31,Medium
111,Earthquake,Gujarat,2022-07-22,High
112,Landslide,Gujarat,2021-06-08,High
113,Earthquake,Gujarat,2022-10-17,High
114,Flood,Assam,2023-02-24,High
115,Cyclone,Gujarat,2023-04-15,Medium
116,Drought,UP,2022-02-28,Medium
117,Landslide,Odisha,2024-03-25,Medium
118,Landslide,Odisha,2022-09-04,Medium
119,Landslide,Gujarat,2022-07-13,Medium
120,Landslide,Odisha,2023-04-09,High
121,Cyclone,UP,2023-12-30,Low
122,Landslide,Odisha,2023-05-28,Low
123,Landslide,Assam,2023-02-16,Medium
124,Cyclone,UP,2023-02-16,Medium
125,Landslide,Kerala,2023-08-22,Low
126,,Odisha,2022-12-18,Low
127,,West Bengal,2021-03-24,Low
128,Cyclone,Gujarat,2021-11-09,Low
129,Cyclone,UP,2024-03-01,Low
130,Landslide,Kerala,2021-12-10,High
131,Drought,West Bengal,2021-12-02,Medium
132,Flood,Odisha,2024-03-25,High
133,Landslide,Bihar,2022-02-11,Low
134,Drought,Gujarat,2022-09-10,High
135,Drought,West Bengal,2024-03-05,Low
136,Earthquake,Bihar,2021-05-22,High
137,,Tamil Nadu,,Medium
138,Landslide,West Bengal,2023-01-12,High
139,Landslide,Assam,2023-12-05,High
140,Earthquake,UP,2022-07-04,Medium
141,Cyclone,West Bengal,2023-07-13,Low
142,Landslide,Bihar,2023-10-10,Medium
143,Cyclone,UP,2022-06-14,Medium
144,Earthquake,Kerala,2023-11-25,Low
145,Flood,Gujarat,2023-09-28,High
146,Cyclone,UP,2023-10-03,Medium
147,Flood,West Bengal,2023-04-09,High
148,Cyclone,Kerala,2023-01-26,Medium
149,Drought,Tamil Nadu,2024-02-02,Medium
150,Earthquake,UP,2022-05-30,Low
151,Flood,Gujarat,2024-01-03,High
152,Cyclone,Gujarat,2023-09-19,Medium
153,,Kerala,2022-02-02,Medium
154,Cyclone,Tamil Nadu,2021-01-29,High
155,Drought,Assam,2021-04-22,High
156,Earthquake,Assam,2023-10-03,Low
157,Flood,Kerala,2023-06-22,Medium
158,Cyclone,Odisha,2023-09-06,Low
159,Flood,Bihar,2024-03-27,High
160,,Odisha,2024-02-27,Medium
161,Flood,Gujarat,2023-05-03,High
162,Drought,Gujarat,2023-02-19,Medium
163,Landslide,Kerala,2023-05-29,Medium
164,Drought,Odisha,2021-07-23,Low
165,,Gujarat,2021-06-16,Low
166,Cyclone,Assam,2021-11-17,Low
167,Landslide,UP,2023-08-21,Medium
168,Flood,Gujarat,2022-08-03,High
169,Landslide,West Bengal,2022-06-26,High
170,Drought,Gujarat,2024-01-21,Low
171,,Assam,2021-10-19,Low
172,Flood,Assam,2024-03-11,Medium
173,Landslide,West Bengal,2022-09-15,High
174,Landslide,Kerala,2023-10-09,Medium
175,Flood,Odisha,2022-10-23,High
176,Earthquake,Odisha,2024-03-24,High
177,Flood,Kerala,2021-12-25,Medium
178,Drought,UP,2022-01-07,High
179,Landslide,UP,2023-08-21,Medium
180,Landslide,Tamil Nadu,2021-08-03,Low
181,Earthquake,Bihar,2022-08-14,High
182,Landslide,Odisha,2022-10-07,Medium
183,Earthquake,West Bengal,2023-04-08,High
184,Flood,UP,2022-01-20,High
185,Earthquake,UP,2021-04-16,Low
186,Earthquake,Assam,2023-06-17,High
187,Landslide,West Bengal,,High
188,Drought,Gujarat,2022-09-29,High
189,Flood,Bihar,2021-08-21,Medium
190,Flood,Assam,2022-08-21,High
191,,Kerala,2023-09-16,Medium
192,Cyclone,UP,2023-02-25,Low
193,Drought,Assam,2022-07-20,Medium
194,Earthquake,Kerala,2022-08-03,High
195,Earthquake,UP,2023-07-04,High
196,Landslide,Tamil Nadu,2024-01-18,Medium
197,Landslide,Tamil Nadu,2022-05-05,High
198,Landslide,Gujarat,2023-04-22,Low
199,Earthquake,UP,2023-02-20,Medium
200,,Assam,2021-03-17,Low
201,Drought,Tamil Nadu,2023-06-21,Low
