impact_id,event_id,affected_people,economic_loss_musd
1,999,250020.0,989.93
2,225,2198805.0,1699.75
3,183,1645062.0,
4,933,849845.0,4157.4
5,389,,
6,468,,4047.63
7,964,,4392.06
8,122,1212585.0,3974.7
9,546,,
10,652,2052431.0,3815.65
11,875,,
12,254,,
13,215,,3955.2
14,172,,
15,511,,
16,539,,
17,654,4899801.0,1036.79
18,463,,
19,911,3164201.0,
20,261,4619364.0,672.52
21,303,,1151.66
22,477,,
23,443,,
24,280,3208559.0,898.65
25,272,,
26,863,4210109.0,3929.58
27,101,995787.0,1801.82
28,342,,
29,196,,
30,289,,4729.13
31,484,4301394.0,4327.47
32,233,,
33,740,,
34,867,,
35,215,,4264.87
36,384,1166598.0,1528.55
37,512,,
38,703,,1631.07
39,582,271188.0,
40,582,,4900.88
41,972,3277893.0,2672.92
42,487,,
43,655,2556551.0,857.95
44,33,4099785.0,934.27
45,934,,
46,676,4399949.0,
47,531,93669.0,
48,401,1318308.0,
49,490,,4775.53
50,134,,
51,163,,
52,283,1693005.0,
53,66,3350041.0,
54,472,3882370.0,
55,662,,
56,401,,
57,469,3227803.0,3492.91
58,403,367284.0,4427.82
59,281,,3333.62
60,715,,2056.98
61,378,643010.0,
62,420,3783725.0,1264.58
63,474,225125.0,
64,391,,
65,39,,574.3
66,335,,2307.32
67,562,,
68,862,1354640.0,4192.64
69,182,2468464.0,
70,173,651832.0,3387.24
71,452,3004851.0,1084.15
72,915,4466246.0,2210.85
73,857,4387188.0,
74,455,440691.0,
75,786,1693301.0,1873.85
76,205,767604.0,2108.99
77,346,1612886.0,1103.62
78,817,1409303.0,221.02
79,836,,2810.71
80,640,,4694.68
81,238,1794316.0,1783.53
82,16,,60.89
83,470,1847300.0,
84,666,3096228.0,337.59
85,421,,4915.53
86,730,4498816.0,1260.45
87,615,,3389.82
88,341,,
89,70,2812066.0,
90,392,4287797.0,2517.6
91,239,178950.0,
92,776,2044009.0,
93,511,2489184.0,759.2
94,658,318984.0,
95,757,2758250.0,1391.35
96,534,,3753.0
97,868,,1212.0
98,929,2084210.0,
99,534,2699086.0,2212.36
100,67,4125194.0,4768.35
101,650,1188256.0,628.68
102,607,4605063.0,1182.31
103,437,,821.63
104,251,3557910.0,
105,293,,4838.66
106,279,4037352.0,
107,408,3169523.0,
108,518,3636878.0,
109,21,,
110,610,4507340.0,2764.71
111,264,,
112,385,,360.63
113,733,3937425.0,774.47
114,5,,
115,963,,
116,657,4936093.0,2044.53
117,944,,4660.72
118,199,,
119,522,,
120,949,3558108.0,1212.52
121,944,3032762.0,3487.66
122,268,3821765.0,1272.19
123,13,980207.0,
124,408,4918070.0,2593.17
125,898,3548918.0,
126,709,,
127,771,746524.0,
128,834,,
129,716,2585533.0,
130,2,813610.0,
131,538,,3665.48
132,181,3143803.0,3520.53
133,499,1527595.0,2253.85
134,191,1686614.0,3749.83
135,266,,3134.56
136,890,1394567.0,
137,128,2322649.0,1711.42
138,490,4071105.0,
139,770,61621.0,485.11
140,385,,
141,776,,
142,323,,
143,626,,4365.51
144,4,,3626.38
145,27,,4755.36
146,378,,2575.06
147,4,2703671.0,3169.25
148,993,,
149,410,,
150,675,,1470.02
151,730,1201925.0,640.18
152,309,,
153,978,,3313.55
154,250,1776371.0,3766.51
155,109,3649150.0,
156,925,,
157,682,3996513.0,
158,93,2792738.0,4658.97
159,660,,
160,670,,4042.43
161,266,,439.31
162,349,4968737.0,3723.34
163,587,3085801.0,
164,591,,310.36
165,868,,
166,817,1060542.0,533.82
167,552,,
168,858,,3400.22
169,616,2378271.0,3735.55
170,614,,2512.39
171,281,,3155.75
172,507,,
173,157,1767750.0,3502.34
174,946,,
175,835,1336409.0,
176,433,,
177,74,,1412.54
178,718,,
179,771,4869611.0,
180,469,1374168.0,
181,299,1215862.0,1091.46
182,753,,3630.06
183,695,,
184,696,1412156.0,
185,184,441168.0,
186,608,3640157.0,
187,251,286152.0,
188,310,,3879.47
189,797,,
190,377,98328.0,584.02
191,501,4277080.0,
192,281,794170.0,
193,306,4794444.0,498.11
194,731,4509969.0,2027.25
195,404,,320.59
196,772,1741332.0,904.14
197,6,,4002.76
198,41,1081586.0,3263.55
199,576,2154863.0,423.97
200,519,,4831.41
201,434,1717.0,
202,675,,
203,712,,3031.25
204,705,831548.0,1186.26
205,146,2515143.0,4787.16
206,606,,
207,77,,1304.11
208,410,3826773.0,
209,963,1202617.0,
210,649,,2818.65
211,430,,
212,389,218347.0,388.55
213,545,,330.73
214,372,,732.5
215,281,83739.0,1886.4
216,388,881826.0,
217,603,4108218.0,
218,565,2274765.0,4482.95
219,326,3268894.0,
220,489,4969657.0,1296.05
221,674,1061054.0,
222,55,3106049.0,
223,724,3841192.0,
224,818,,
225,534,,3178.54
226,971,,3853.12
227,650,667683.0,3650.04
228,170,4827106.0,
229,568,4135329.0,
230,694,4268136.0,2398.8
231,416,117603.0,4554.52
232,732,,1221.89
233,622,3764566.0,3372.94
234,180,,
235,976,,2478.04
236,383,,4570.31
237,852,4523463.0,
238,301,2221890.0,
