region_id,region,population,area_sq_km
1,Bihar,90048646.0,207448
2,Gujarat,,122562
3,Odisha,,95079
4,Kerala,,206605
5,Tamil Nadu,15204415.0,154926
6,Tamil Nadu,52451057.0,180395
7,Kerala,29532913.0,160809
8,Gujarat,36522559.0,99574
9,Gujarat,35763714.0,248874
10,Gujarat,,70893
11,West Bengal,21089818.0,207160
12,UP,87386462.0,230342
13,Odisha,,192704
14,Tamil Nadu,,158661
15,Assam,,134301
16,Gujarat,82398691.0,44194
17,Bihar,69199033.0,161720
18,Tamil Nadu,57843790.0,149851
19,West Bengal,,112746
20,Odisha,6586450.0,129464
21,West Bengal,,190636
22,Kerala,,92164
23,Kerala,,125924
24,Assam,,85189
25,Bihar,,125703
26,Bihar,,77156
27,Assam,82295013.0,243435
28,West Bengal,41231955.0,175579
29,Bihar,56121302.0,68232
30,Assam,68483243.0,76296
31,Bihar,72054885.0,195321
32,Tamil Nadu,,95791
33,Odisha,58472598.0,211021
34,Assam,13057946.0,243337
35,Kerala,68960038.0,147926
36,Tamil Nadu,,124452
37,Kerala,51189726.0,137940
38,West Bengal,52122567.0,181218
39,Assam,,115220
40,UP,64985944.0,129895
41,Kerala,67243750.0,73928
42,Tamil Nadu,,48702
43,West Bengal,,89825
44,Tamil Nadu,,216235
45,Kerala,,101106
46,UP,,138524
47,Assam,29680787.0,62778
48,Gujarat,,225002
49,West Bengal,33262427.0,134083
50,West Bengal,17825003.0,154042
51,Odisha,,167358
52,West Bengal,,192031
53,Assam,,111099
54,Gujarat,,146171
55,Assam,22619715.0,37489
56,Odisha,,115249
57,UP,,173797
58,UP,23134815.0,184882
59,UP,,167221
60,Kerala,,171470
61,Gujarat,,110705
62,Tamil Nadu,,70820
63,Kerala,6416778.0,167184
64,Assam,,152997
65,Odisha,,228042
66,UP,45213043.0,230768
67,Bihar,44315407.0,238867
68,Odisha,,79432
69,Bihar,,133481
70,Gujarat,,247167
71,Bihar,,50764
72,Bihar,88929434.0,165426
73,Kerala,,138240
74,Gujarat,14189076.0,65815
75,Kerala,,191934
76,UP,,79227
77,Tamil Nadu,7603206.0,43010
78,Odisha,29956121.0,103954
79,Kerala,,220606
80,Odisha,36247296.0,69500
81,Odisha,71247126.0,119630
82,Bihar,,127359
83,UP,98541005.0,116572
84,West Bengal,24607576.0,99862
85,Bihar,,77606
86,Gujarat,,247121
87,Odisha,21369402.0,130872
88,UP,38173547.0,82213
89,UP,17611138.0,153948
90,Bihar,,114689
91,Assam,89444996.0,225225
92,West Bengal,,197384
93,Kerala,,43654
94,Gujarat,20157001.0,195913
95,Bihar,48555463.0,73872
96,Kerala,83476684.0,133758
97,Gujarat,6198544.0,182325
98,UP,97396361.0,127359
99,West Bengal,38382936.0,161050
100,West Bengal,,229114
101,Odisha,,198971
102,Assam,99130669.0,62984
103,UP,,176368
104,Tamil Nadu,63883853.0,35597
105,Bihar,53072427.0,95718
106,Odisha,,176544
107,Kerala,,79748
108,Assam,,114850
109,UP,41953423.0,48055
110,Assam,,244805
111,Kerala,,149034
112,Odisha,,222323
113,Assam,,233428
114,Gujarat,48042832.0,202566
115,Bihar,,230732
116,Assam,,114567
117,Bihar,,58957
118,West Bengal,75222787.0,41475
119,Assam,28976493.0,82973
120,West Bengal,70145297.0,55887
121,Odisha,,202470
122,UP,,42867
123,Tamil Nadu,34624910.0,33430
124,Gujarat,,248124
125,West Bengal,67821834.0,124614
126,Bihar,54535555.0,245913
127,Kerala,76003974.0,222492
